year,month,decimal_year,average,deseasonalized,days,daily_std,monthly_unc,month_id,quality
2009,8,2009.625,386.29,387.99,28,0.62,0.22,24115,reported
2009,9,2009.7083,384.95,388.22,28,0.56,0.2,24116,reported
2009,10,2009.7917,384.64,387.88,30,0.31,0.11,24117,reported
2009,11,2009.875,386.23,388.36,30,0.29,0.1,24118,reported
2009,12,2009.9583,387.63,388.43,20,0.47,0.2,24119,reported
2010,1,2010.0417,388.91,388.62,30,0.92,0.32,24120,reported
2010,2,2010.125,390.41,389.47,20,1.31,0.56,24121,reported
2010,3,2010.2083,391.37,389.85,25,1.05,0.4,24122,reported
2010,4,2010.2917,392.67,390.12,26,0.65,0.24,24123,reported
2010,5,2010.375,393.21,390.09,29,0.65,0.23,24124,reported
2010,6,2010.4583,392.38,390.1,28,0.42,0.15,24125,reported
2010,7,2010.5417,390.41,389.93,29,0.47,0.17,24126,reported
2010,8,2010.625,388.54,390.21,26,0.41,0.16,24127,reported
2010,9,2010.7083,387.03,390.32,29,0.55,0.19,24128,reported
2010,10,2010.7917,387.43,390.72,31,0.27,0.09,24129,reported
2010,11,2010.875,388.87,390.99,29,0.42,0.15,24130,reported
2010,12,2010.9583,389.99,390.8,29,0.47,0.17,24131,reported
2011,1,2011.0417,391.5,391.19,29,0.88,0.31,24132,reported
2011,2,2011.125,392.05,391.12,28,0.47,0.17,24133,reported
2011,3,2011.2083,392.8,391.27,29,0.97,0.35,24134,reported
2011,4,2011.2917,393.44,390.83,28,0.73,0.26,24135,reported
2011,5,2011.375,394.41,391.24,29,0.93,0.33,24136,reported
2011,6,2011.4583,393.95,391.64,28,0.45,0.16,24137,reported
2011,7,2011.5417,392.72,392.24,26,0.71,0.26,24138,reported
2011,8,2011.625,390.33,392.04,27,0.42,0.15,24139,reported
2011,9,2011.7083,389.28,392.6,26,0.31,0.12,24140,reported
2011,10,2011.7917,389.19,392.53,30,0.17,0.06,24141,reported
2011,11,2011.875,390.48,392.64,28,0.26,0.1,24142,reported
2011,12,2011.9583,392.06,392.86,26,0.37,0.14,24143,reported
2012,1,2012.0417,393.31,393.07,30,0.77,0.27,24144,reported
2012,2,2012.125,394.04,393.2,26,1.19,0.45,24145,reported
2012,3,2012.2083,394.59,392.99,30,0.63,0.22,24146,reported
2012,4,2012.2917,396.38,393.65,29,0.59,0.21,24147,reported
2012,5,2012.375,396.93,393.73,30,0.5,0.17,24148,reported
2012,6,2012.4583,395.91,393.63,28,0.59,0.21,24149,reported
2012,7,2012.5417,394.56,394.12,26,0.3,0.11,24150,reported
2012,8,2012.625,392.59,394.37,30,0.52,0.18,24151,reported
2012,9,2012.7083,391.32,394.75,26,0.42,0.16,24152,reported
2012,10,2012.7917,391.27,394.64,28,0.23,0.08,24153,reported
2012,11,2012.875,393.2,395.25,29,0.53,0.19,24154,reported
